Available Data and Morphometry,,,,,,,,,,,,,,,,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,Elevation (m),Temp (C),SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,SpeciesPreviouslyStocked,NativeSpeciesPresent,BathymetricMap,Count of ForkLength_mm,Average of ForkLength_mm,Count of Weight_g,Average of Weight_g,Abundance,SWHS,"Include in ""Alaskanizing"" Modeling Exercise",Potentially Include in Lake Trout Management Plan
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Crater Lake (Dickey),-146.087770000,62.943110,877,-3.00,16.19,,,10.7,,"coho salmon, rainbow trout",lake trout,No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Crazy Lake,-146.494360000,62.491878,786,-3.00,126.87,,,11.0,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Crosswind Lake,-146.025380000,62.354720,644,-3.00,3673.54,"604,316,454",16.45,44.2,42.13,sockeye salmon,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified, lake whitefish, round whitefish",Yes,305,604,269,2674,,Yes,Yes,Yes
Region III,Delta (Upper Tanana River Drainage),Crystal Lake #1,-145.639118000,63.159763,1045,-3.00,,,,,,"lake trout, rainbow trout","lake trout, Alaska blackfish, Arctic grayling",No,10,369,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Curtis Lake,-146.989178000,62.304475,874,-4.00,84.98,,,9.1,,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),David Lake (near Y Lk),-146.220343000,62.513588,825,-3.00,3.16,,,4.3,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region II,Mat-Su (Susitna River Drainage),Deadman Lake (Healy),-148.252358000,63.009263,931,-3.00,153.78,,,21.3,,,"lake trout, Arctic grayling, slimy sculpin, whitefish-unspecified",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Dee Lake,-146.312565000,62.498087,819,-3.00,15.18,,,8.8,,,"lake trout, longnose sucker, humpback whitefish",No,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Deep Lake,-146.018859000,62.481441,667,-3.00,303.51,,,10.7,,,"lake trout, burbot, whitefish-unspecified",Yes,,,,,,,No,Yes
Region III,Northwest Drainages,Desperation Lake,-158.751030000,68.330530,394,-8.00,880.19,,,4.6,,,"lake trout, round whitefish",No,,,,,,Yes,No,No
